"","adj","p.val","fc","auc.mat","log10p","log2fc"
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_SGB101145",0.00283926850546447,0.00074346205805398,0,0.531073446327684,2.5467935349389,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF34_10BH",3.86584887697706e-36,2.74033185403618e-38,4.56385430748013,0.812668528505393,35.4127551273322,2.19025273701861
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_fissicatena",6.3370569818631e-20,2.70606242286408e-21,2.68799507672071,0.706351117103236,19.1981123877466,1.42653049570703
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_torques",4.92737438965297e-31,6.3964549255039e-33,4.29607495408297,0.804860041088855,30.3073844380939,2.10301916439885
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes",1.44014181002229e-42,4.4277995696304e-45,5.29643822727551,0.849487994350282,41.8415947410451,2.40502249566499
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis",2.61499664195514e-12,2.07698939022827e-13,2.04332737350286,0.690469311761685,11.5825288644951,1.0309203652518
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus|s__Faecalibacillus_faecis",9.9288577780308e-15,6.08841052577172e-16,1.70268233973732,0.651129943502825,14.0031007101381,0.767809304286534
"k__Bacteria|p__Proteobacteria|c__CFGB76539|o__OFGB76539|f__FGB76539|g__GGB9815|s__GGB9815_SGB15449",0.260273364259673,0.157888949213123,0,0.505649717514124,0.584570274253165,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_fessum",1.1130267286691e-32,1.18821710721358e-34,4.39244781333224,0.79860843605547,31.9534944062186,2.13502514567724
"k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB9512|s__GGB9512_SGB14909",2.68900558544304e-07,3.67674262729038e-08,0.672899528854326,0.580725154083205,6.570408295685,-0.571536983876907
