"","NA","NA","Cor","Pval","Qval","name"
"27","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277",0.44124662683467,1.16263710605679e-26,4.4470869306672e-26,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB3277"
"28","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716",0.00477875379355057,0.912602848146094,0.918606814252318,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9716"
"29","tyr.PPM.","k__Bacteria|p__Bacteroidetes|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687",0.457426207857758,9.14186849720534e-29,4.1138408237424e-28,"tyr.PPM._with_k__Bacteria|p__Bacteroidetes|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687"
"30","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566",0.154819562218403,0.000347041373525544,0.00059659921516189,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4566"
"31","tyr.PPM.","k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403|g__GGB6601",0.331548462348052,4.59381317442968e-15,1.1522187142422e-14,"tyr.PPM._with_k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403|f__FGB2403|g__GGB6601"
"32","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4567",0.512432219984276,8.02032774863412e-37,8.18073430360681e-36,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4567"
"33","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger",0.580632440523423,4.27868775063368e-49,3.27319612923477e-47,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Gemmiger"
"34","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified",0.378151792115213,1.84107738652604e-19,5.63369680276967e-19,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified"
"35","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter",0.190593309306559,9.9623301079988e-06,1.90529563315477e-05,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter"
"36","tyr.PPM.","k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB6546",0.0535695435483537,0.218234646835247,0.267119207726342,"tyr.PPM._with_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__GGB6546"
